tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped
103,0,0,0,2057216,0,0,0,0,0,0
104,0,0,0,1989120,0,0,0,0,0,0
105,0,0,0,1938048,0,0,0,0,0,0
106,0,0,0,2222080,0,0,0,0,0,0
107,0,0,0,2041984,0,0,0,0,0,0
108,0,0,0,2012416,0,0,0,0,0,0
109,0,0,0,2028544,0,0,0,0,0,0
110,0,0,0,2257024,0,0,0,0,0,0
111,0,0,0,2093952,0,0,0,0,0,0
112,0,0,0,2597504,0,0,0,0,0,0
113,0,0,0,2228352,0,0,0,0,0,0
114,0,0,0,2065280,0,0,0,0,0,0
115,0,0,0,2166528,0,0,0,0,0,0
116,0,0,0,2403072,0,0,0,0,0,0
117,0,0,0,2451456,0,0,0,0,0,0
118,0,0,0,2700544,0,0,0,0,0,0
119,0,0,0,2910208,0,0,0,0,0,0
120,0,0,0,2790144,0,0,0,0,0,0
121,0,0,0,2912896,0,0,0,0,0,0
122,0,0,0,2815232,0,0,0,0,0,0
123,0,0,0,2944256,0,0,0,0,0,0
124,0,0,0,3196032,0,0,0,0,0,0
125,0,0,0,3151232,0,0,0,0,0,0
126,0,0,0,3325056,0,0,0,0,0,0
127,0,0,0,3286528,0,0,0,0,0,0
128,0,0,0,3580416,0,0,0,0,0,0
129,0,0,0,4081280,0,0,0,0,0,0
130,0,0,0,3900288,0,0,0,0,0,0
131,0,0,0,3901184,0,0,0,0,0,0
132,0,0,0,4000640,0,0,0,0,0,0
133,0,0,0,4625152,0,0,0,0,0,0
134,0,0,0,4500608,0,0,0,0,0,0
135,0,0,0,4787328,0,0,0,0,0,0
136,0,0,0,4418176,0,0,0,0,0,0
137,0,0,0,4883200,0,0,0,0,0,0
138,0,0,0,4877824,0,0,0,0,0,0
139,0,0,0,5227264,0,0,0,0,0,0
140,0,0,0,4936064,0,0,0,0,0,0
141,0,0,0,5353600,0,0,0,0,0,0
142,0,0,0,5756800,0,0,0,0,0,0
143,0,0,0,5758592,0,0,0,0,0,0
144,3079,3079,3079,6071296,0,3180,0,0,3180,0
145,5983,5983,5983,6321280,0,3268,0,0,3268,0
146,8965,8965,8965,7082880,0,3628,0,0,3628,0
147,11458,11458,11458,6363392,0,3258,0,0,3258,0
148,13794,13794,13794,6316800,0,3384,0,0,3384,0
149,16048,16048,16048,7001344,0,3566,0,0,3566,0
150,18295,18295,18295,7514752,0,3895,0,0,3895,0
151,20293,20293,20293,7141120,0,3747,0,0,3747,0
