mode,p_gossip,adoption,t_since_release_min,aware_new_frac_mean,aware_new_frac_q25,aware_new_frac_q75,cum_msgs_mean,cum_gossip_bytes_mean,reps
sth_proof,0.012,0.2,70.0,0.0,0.0,0.0,9855.0,19152.0,8
sth_proof,0.012,0.2,75.0,0.0,0.0,0.0,10452.375,21504.0,8
sth_proof,0.012,0.2,80.0,0.0,0.0,0.0,11078.625,21840.0,8
sth_proof,0.012,0.2,85.0,0.0,0.0,0.0,11729.625,22064.0,8
sth_proof,0.012,0.2,90.0,0.0,0.0,0.0,12393.875,22400.0,8
sth_proof,0.012,0.2,95.0,0.0,0.0,0.0,13062.625,25200.0,8
sth_proof,0.012,0.2,100.0,0.0,0.0,0.0,13750.375,26880.0,8
sth_proof,0.012,0.2,105.0,0.0,0.0,0.0,14408.875,30128.0,8
sth_proof,0.012,0.2,110.0,0.0,0.0,0.0,15088.75,33824.0,8
sth_proof,0.012,0.2,115.0,0.0,0.0,0.0,15804.75,36512.0,8
sth_proof,0.02,0.2,0.0,0.0,0.0,0.0,740.625,4368.0,8
sth_proof,0.02,0.2,5.0,0.0,0.0,0.0,1416.75,6160.0,8
sth_proof,0.02,0.2,10.0,0.0,0.0,0.0,2057.5,10304.0,8
sth_proof,0.02,0.2,15.0,0.0,0.0,0.0,2711.625,12544.0,8
sth_proof,0.02,0.2,20.0,0.0,0.0,0.0,3356.5,14672.0,8
sth_proof,0.02,0.2,25.0,0.0,0.0,0.0,4026.5,16464.0,8
sth_proof,0.02,0.2,30.0,0.0,0.0,0.0,4672.75,17248.0,8
sth_proof,0.02,0.2,35.0,0.0,0.0,0.0,5342.375,18480.0,8
sth_proof,0.02,0.2,40.0,0.0,0.0,0.0,6042.0,20160.0,8
sth_proof,0.02,0.2,45.0,0.0,0.0,0.0,6685.875,23632.0,8
sth_proof,0.02,0.2,50.0,0.0,0.0,0.0,7306.5,25312.0,8
sth_proof,0.02,0.2,55.0,0.0,0.0,0.0,7971.125,28672.0,8
sth_proof,0.02,0.2,60.0,0.0,0.0,0.0,8632.625,31248.0,8
sth_proof,0.02,0.2,65.0,0.0,0.0,0.0,9249.25,34832.0,8
sth_proof,0.02,0.2,70.0,0.0,0.0,0.0,9855.0,35616.0,8
sth_proof,0.02,0.2,75.0,0.0,0.0,0.0,10452.375,38192.0,8
sth_proof,0.02,0.2,80.0,0.0,0.0,0.0,11078.625,38976.0,8
sth_proof,0.02,0.2,85.0,0.0,0.0,0.0,11729.625,39312.0,8
sth_proof,0.02,0.2,90.0,0.0,0.0,0.0,12393.875,42896.0,8
sth_proof,0.02,0.2,95.0,0.0,0.0,0.0,13062.625,46144.0,8
sth_proof,0.02,0.2,100.0,0.0,0.0,0.0,13750.375,48272.0,8
sth_proof,0.02,0.2,105.0,0.0,0.0,0.0,14408.875,52304.0,8
sth_proof,0.02,0.2,110.0,0.0,0.0,0.0,15088.75,56336.0,8
sth_proof,0.02,0.2,115.0,0.0,0.0,0.0,15804.75,59360.0,8
